                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.271,                 1.2683,                 1.3332,                 1.3284,                 2.3153,                 1.3071,                0.69325,                0.69375,                0.73542,                0.40842,                 1.4353,                 1.6854,                 1.4804,                 1.5249,                 1.7467,                 1.4874,             0.00055446,             0.00055446,             0.00055446
                      2,                 1.2939,                 1.1042,                 1.3314,                 1.3915,                 1.2649,                 1.3327,                0.75382,                0.64511,                0.72616,                0.42724,                  1.361,                  1.135,                 1.3856,                 1.4461,                 1.2584,                 1.4056,              0.0010662,              0.0010662,              0.0010662
                      3,                  1.255,                 1.0521,                 1.2998,                 1.3644,                 1.2092,                 1.3076,                0.72642,                0.72776,                0.78519,                0.49739,                 1.2205,                 1.2278,                 1.2924,                 1.3102,                 1.2959,                 1.2942,              0.0015339,              0.0015339,              0.0015339
                      4,                  1.194,                0.97012,                 1.2649,                 1.2969,                 1.0998,                 1.2689,                0.78946,                0.76686,                0.84155,                0.57155,                  1.106,                0.84142,                 1.2016,                 1.1739,                0.92324,                 1.2177,               0.001469,               0.001469,               0.001469
                      5,                 1.1482,                0.91417,                 1.2368,                 1.2574,                 1.0478,                 1.2416,                0.82102,                0.78879,                 0.8651,                0.58893,                 1.1071,                0.78041,                 1.2124,                 1.1679,                 0.8178,                  1.208,               0.001469,               0.001469,               0.001469
                      6,                 1.1114,                0.86022,                 1.2179,                  1.221,                0.97598,                  1.228,                0.83368,                0.81406,                0.89007,                0.62586,                 1.0358,                0.69728,                  1.157,                 1.0879,                 0.7214,                 1.1648,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.0795,                0.81826,                 1.1985,                 1.1845,                0.91029,                 1.2095,                0.85567,                0.81195,                0.89792,                0.63571,                0.99457,                0.70446,                 1.1407,                 1.0581,                0.74219,                  1.147,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.0483,                 0.7845,                 1.1801,                  1.156,                0.86962,                 1.1928,                0.86367,                0.82101,                  0.906,                0.63423,                 1.0246,                0.68344,                 1.1325,                 1.0919,                 0.7088,                 1.1452,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.0297,                0.75967,                 1.1645,                 1.1236,                0.85137,                 1.1786,                 0.8643,                0.83722,                0.91247,                0.65515,                 1.0015,                0.62836,                 1.1138,                 1.0588,                 0.6411,                 1.1404,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.0069,                0.73352,                 1.1529,                 1.1066,                0.81853,                  1.168,                0.86679,                 0.8303,                0.91474,                0.66216,                0.95953,                0.62027,                 1.0924,                 1.0162,                0.63251,                 1.1073,              0.0011389,              0.0011389,              0.0011389
